"fips","YearData","govid_14","Name","STATEAB","demshare_fg","demshare_oc","demshare_gh","mayor_party","runnerup_party","mayor_votes","runnerup_votes","mayor_name","runnerup_name","winner_pid","runner1_pid","winnervotes","runner1_votes","winner","runner1","population_est","elec_source","winner_cf_party","runnerup_cf_party","winner_pid_check","runnerup_pid_check","winner_pid_gh","runnerup_pid_gh","elecdate","month","gh_oc","gh_fg","oc_fg","mayor_party_final","pass_mayor","mayor_votes_final","runnerup_party_final","pass_runnerup","runnerup_votes_final","demshare","fail","elec_index","STATE","ID","FIPS_PLACE_ID","JURIS","fog","initiative","partisan","referendum","termlength","termlimits","STATEFIP","mayor_name_final","runnerup_name_final"
1827000,1967,152045005,"GARY CITY","IN",0.008987848,0.014233478,NA,"D","R",39330,37941,"Richard G Hatcher","Joseph H Radigan","D","R",39940,37729,"Richard G. Hatcher","Joseph B. Radigan",176286.5,"1967 CQ Almanac",NA,NA,NA,NA,NA,NA,1967-11-07,11,NA,NA,0.00524563,"D",1,39330,"R",1,37941,0.508987848,NA,2421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"richard hatcher","joseph radigan"
1827000,1971,152045005,"GARY CITY","IN",0.178238388,0.178238388,NA,"D","R",38039,18046,"Richard G Hatcher","Theodore D Nering","D","R",38039,18046,"Richard G. Hatcher(I)","Theodore Nering",176042.5,"1971 CQ Almanac, p. 34",NA,NA,NA,NA,NA,NA,1971-11-02,11,NA,NA,0,"D",1,38039,"R",1,18046,0.678238388,NA,2422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"richard hatcher","theodore nering"
1827000,1975,152045005,"GARY CITY","IN",0.202105044,NA,NA,"D","R",30385,12892,"Richard G Hatcher","James F Hilton",NA,NA,NA,NA,NA,NA,172735.5,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,30385,"R",-1,12892,0.702105044,NA,2423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"richard hatcher","james hilton"
1827000,1979,152045005,"GARY CITY","IN",0.253014772,0.252548516,NA,"D","R",19982,6554,"Richard G Hatcher","William R Borman","D","R",19932,6554,"Richard G. Hatcher(I)","William Borman",159412,"Chicago Tribune, 11/7/1979",NA,NA,NA,NA,NA,NA,1979-11-06,11,NA,NA,-0.000466256,"D",1,19982,"R",1,6554,0.753014772,NA,2424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"richard hatcher","william borman"
1827000,1983,152045005,"GARY CITY","IN",NA,NA,NA,"D","I",20107,1236,"Richard G Hatcher","Marie E Head","D","NP",20107,1238,"Richard G. Hatcher(I)","Marie Head",147537,"<a href=""http://news.google.com/newspapers?id=IM5UAAAAIBAJ&amp;sjid=BzwNAAAAIBAJ&amp;pg=3184,3597943&amp;dq=gary+hatcher+mayor&amp;hl=en"" target=""_blank"" >[Link]</a>",NA,NA,NA,NA,NA,NA,1983-11-08,11,NA,NA,NA,"D",1,20107,"0",NA,1236,NA,NA,2425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"richard hatcher","marie head"
1827000,1987,152045005,"GARY CITY","IN",0.457348703,0.452907097,NA,"D","R",26576,1184,"Thomas V Barnes","Thaeddus Romanowski","D","R",23027,1138,"Thomas V. Barnes","Thaddeus Romanowski",134623,"Post Tribune, 11/4/1987",NA,NA,NA,NA,NA,NA,1987-11-03,11,NA,NA,-0.004441606,"D",1,26576,"R",1,1184,0.957348703,NA,2426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thomas barnes","thaeddus romanowski"
1827000,1991,152045005,"GARY CITY","IN",NA,NA,NA,"D","",12567,0,"Thomas V Barnes","",NA,NA,NA,NA,NA,NA,116660,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"D",-1,12567,"0",NA,0,NA,NA,2427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thomas barnes",""
1827000,1995,152045005,"GARY CITY","IN",NA,NA,NA,"D","I",23812,5493,"Scott King","Marion R Williams","D","NP",23588,5482,"Scott King","Marion Williams",113838.5,"Chicago Sun-Times - Thursday, November 9, 1995","D",NA,NA,NA,NA,NA,1995-11-07,11,NA,NA,NA,"D",1,23812,"0",NA,5493,NA,NA,2429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scott king","marion williams"
1827000,1999,152045005,"GARY CITY","IN",NA,NA,NA,"D","",11467,0,"Scott L. King","Vernon Smith","D",NA,11467,NA,"Scott King(I)",NA,105607.5,"<a href=""http://www.in.gov/sos/elections/mayoral99/view.jsp!city=Gary&amp;bycounty=Go.html"" target=""_blank"" >[Link]</a>",NA,"D",NA,NA,NA,NA,1999-11-02,11,NA,NA,NA,"D",1,11467,"D",-1,0,NA,NA,2433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scott king","vernon smith"
1827000,2003,152045005,"GARY CITY","IN",0.393044795,0.393044795,NA,"D","R",10028,1201,"Scott L. King","Charles R. Smith, Jr.","D","R",10028,1201,"Scott King(I)","Charles R. Smith, Jr.",100201.6667,"<a href=""http://www.in.gov/apps/sos/election/general/general2003?page=district&amp;countyID=-1&amp;officeID=32&amp;districtID=843&amp;candidate="" target=""_blank"" >[Link]</a>",NA,NA,NA,NA,NA,NA,2003-11-04,11,NA,NA,0,"D",1,10028,"R",1,1201,0.893044795,NA,2434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scott king","charles smith"
